Customer ID,First Name,Last Name,Email Address,Phone Number,Address,Date of Birth,Account Status,Country,Source System
4dbd9243-7de3-49a0-8486-b435f850d6d8,Kelly,Sanford,jennifer58@yahoo.com,332.101.1578x03413,"17400 Bauer Terrace Suite 906
Stephanieport, VA 93134",10/20/99,Inactive,Burkina Faso,CRM
ea129dcb-bb91-4f76-84a6-58127d089cfb,Gregory,Bolton,jessica63@medina.net,+1-654-664-5818x86622,"441 Christina Lock Suite 205
West Brendan, AL 11277",3/12/51,Active,Nicaragua,Facebook
79bc25ee-8b8f-42c8-af49-7ad3a0bc8c8c,Melanie,Terry,xkelley@yahoo.com,+1-133-353-0302x0762,"38332 William Walk
Heatherside, MI 24434",6/1/99,Active,Myanmar,CRM
3efcb0af-88fc-4124-a3fa-3c4bfc903a52,David,Stevens,sierraandersen@cole-chaney.com,+1-501-010-9588x86949,"Unit 9520 Box 7527
DPO AP 68227",10/2/42,Active,Netherlands,CRM
0eb69478-7036-4267-804f-cbf828daff97,Jacob,West,rgregory@gmail.com,001-144-689-3263,"046 David Path
Lauramouth, TN 36264",12/27/49,Inactive,Zambia,CRM
b5840e09-da70-41db-be50-d585f13141ab,Carly,Reed,beth19@hotmail.com,9469932309,"39814 Gregory Islands
Lake Kristinaland, OR 36890",10/11/77,Active,Japan,CRM
76726cb5-c265-4f46-a1cf-07d3b1eea5ec,Curtis,Simmons,stephanie26@bean.com,001-183-670-7540,"Unit 4650 Box 9059
DPO AA 29690",7/3/99,Active,Brunei Darussalam,CRM
6a1a9982-e078-4e54-b71b-bb8b44e276d3,Elizabeth,Kelly,shughes@yahoo.com,(386)212-6398x24588,"232 Jacob Stravenue
Sloanbury, HI 57870",4/26/79,Inactive,Isle of Man,CRM
57a5d940-dd9f-4e57-bd56-8f2baea45d4e,Melissa,Sanders,jnelson@hotmail.com,001-468-746-1131x7887,"8239 Edward Parkway
West Rachel, CA 01826",3/9/99,Active,Suriname,Facebook
f43643db-8a7c-4b08-9b54-e2994d25080b,John,Ferguson,mitchellcummings@mccoy-cohen.com,6975989242,"1897 Wesley River Suite 361
Lake Jenniferberg, AZ 84416",8/30/77,Active,British Indian Ocean Territory (Chagos Archipelago),Facebook
